"","date","country","activity","year","flu_activity_mean"
"418","2003-04-06","Hungary",0,"2003",0
"419","2003-04-06","Japan",0,"2003",8.80769230769231
"420","2003-04-06","Mexico",0,"2003",254.480769230769
"421","2003-04-06","Netherlands",0,"2003",15.1153846153846
"422","2003-04-06","New.Zealand",0,"2003",0
"423","2003-04-06","Norway",0,"2003",0
"424","2003-04-06","Paraguay",0,"2003",0
"425","2003-04-06","Peru",401,"2003",393.096153846154
"426","2003-04-06","Poland",0,"2003",0
"427","2003-04-06","Romania",777,"2003",630.173076923077
"428","2003-04-06","Russia",0,"2003",0
"429","2003-04-06","South.Africa",0,"2003",0
"430","2003-04-06","Spain",0,"2003",20.8269230769231
"431","2003-04-06","Sweden",0,"2003",0
"432","2003-04-06","Switzerland",0,"2003",23.5
"433","2003-04-06","Ukraine",0,"2003",0
"434","2003-04-06","United.States",0,"2003",831.365384615385
"435","2003-04-06","Uruguay",110,"2003",123.942307692308
"436","2003-04-13","Argentina",193,"2003",179.846153846154
"437","2003-04-13","Australia",0,"2003",0
"438","2003-04-13","Austria",0,"2003",195.730769230769
"439","2003-04-13","Belgium",0,"2003",68.9038461538462
"440","2003-04-13","Bolivia",580,"2003",433.903846153846
"441","2003-04-13","Brazil",259,"2003",238.192307692308
"442","2003-04-13","Bulgaria",0,"2003",0
"443","2003-04-13","Canada",0,"2003",899.692307692308
"444","2003-04-13","Chile",1,"2003",1.65384615384615
"445","2003-04-13","France",0,"2003",84.4230769230769
"446","2003-04-13","Germany",0,"2003",298.211538461538
"447","2003-04-13","Hungary",0,"2003",0
"448","2003-04-13","Japan",0,"2003",8.80769230769231
"449","2003-04-13","Mexico",0,"2003",254.480769230769
"450","2003-04-13","Netherlands",0,"2003",15.1153846153846
"451","2003-04-13","New.Zealand",0,"2003",0
"452","2003-04-13","Norway",0,"2003",0
"453","2003-04-13","Paraguay",0,"2003",0
"454","2003-04-13","Peru",508,"2003",393.096153846154
"455","2003-04-13","Poland",0,"2003",0
"456","2003-04-13","Romania",757,"2003",630.173076923077
"457","2003-04-13","Russia",0,"2003",0
"458","2003-04-13","South.Africa",0,"2003",0
"459","2003-04-13","Spain",0,"2003",20.8269230769231
"460","2003-04-13","Sweden",0,"2003",0
"461","2003-04-13","Switzerland",0,"2003",23.5
"462","2003-04-13","Ukraine",0,"2003",0
"463","2003-04-13","United.States",0,"2003",831.365384615385
"464","2003-04-13","Uruguay",111,"2003",123.942307692308
"465","2003-04-20","Argentina",186,"2003",179.846153846154
"466","2003-04-20","Australia",0,"2003",0
"467","2003-04-20","Austria",0,"2003",195.730769230769
"468","2003-04-20","Belgium",0,"2003",68.9038461538462
"469","2003-04-20","Bolivia",537,"2003",433.903846153846
"470","2003-04-20","Brazil",287,"2003",238.192307692308
"471","2003-04-20","Bulgaria",0,"2003",0
"472","2003-04-20","Canada",0,"2003",899.692307692308
"473","2003-04-20","Chile",1,"2003",1.65384615384615
"474","2003-04-20","France",0,"2003",84.4230769230769
"475","2003-04-20","Germany",0,"2003",298.211538461538
